Kelas,teks_stemming
Kabar Insan Oke ,"['rabu', 'kemarin', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'salah', 'satu', 'kerja', 'menteri', 'industri', 'tugas', 'awas', 'bantu', 'lancar', 'laksana', 'tes', 'seleksi', 'calon', 'aparatur', 'sipil', 'negara', 'casn', 'menteri', 'industri', 'pilih', 'lokasi', 'uji', 'denpasar', 'bal', 'orang', 'casn', 'kemenperin', 'jadwal', 'ikut', 'seleksi', 'mampu', 'dasar', 'skd', 'lokasi', 'uji', 'tempat', 'kantor', 'regional', 'badan', 'pegawai', 'negara', 'bkn', 'denpasar', 'terap', 'protokol', 'sehat', 'ketat', 'laksana', 'tes', 'seleksi', 'casn', 'kemenperin', 'wilayah', 'bal', 'jalan', 'lancar', 'hambat']"
Inbis Tohpati,"['webinar', 'digital', 'tourism', 'bdi', 'denpasar', 'business', 'incubator',  'business', 'talk', 'tema', 'broaden',  'business', 'insight', 'in', 'tourism', 'industry', 'hadir', 'narasumber', '', 'putu', 'surya', 'sudarmadi', '', 'founder', 'ceo', 'guestpro', '', 'bagus', 'putu', 'wahyu', 'nirmala', '', 'co', '', 'founder', 'roamin', 'indonesia', 'giat', 'narasumber', 'sharing', 'knowledge', 'inspirasi', 'proses', 'bisnis', 'bisnis', 'akhir', 'giat', 'serta', 'bicara', 'giat', 'workshop', 'laksana', 'tanggal', 'jumat', 'februari', '', 'wita', 'live', 'on', 'zoom', 'meeting']"
Diklat 3 in 1,"['diklat', 'in', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'i', 'on', 'site', 'castle', 'sobat', 'kreatif', 'senin', 'kepala', 'balai', 'diklat', 'industri', 'bdi', 'denpasar', 'buka', 'diklat', 'in', 'buat', 'gerak', 'animasi', 'dimensi', 'angkat', 'i', 'onsite', 'bekerjasama', 'castle', 'production', 'diklat', 'ikut', 'serta', 'tempat', 'jakarta', 'sobat', 'daftar',  'cek', 'jadwal', 'diklat']"
Inbis Tohpati,"['startup', 'bootcamp', 'and', 'final', 'pitching', 'lets', 'rock',  'innovation', 'startup', 'business', 'competition', 'tanggal', '', 'april', 'jam', '', 'selesai', 'lokasi', 'aula', 'gedung', 'animasi', 'bdi', 'denpasar']"
Bikin Maker Space,"['kepala', 'bdi', 'denpasar', 'zya', 'labiba', 'kenal', 'sarana', 'prasarana', 'dukung', 'giat', 'diklat', 'bdi', 'denpasar', 'fasilitas', 'inkubasi', 'bisnis', 'tohpati', 'tim', 'kemenpanrb', 'ajak', 'capai', 'capai', 'raih', 'layan', 'layan', 'bdi', 'denpasar', 'masyarakat', 'bdi', 'denpasar', 'komitmen', 'cipta', 'wilayah', 'zona', 'integritas', 'bdi', 'denpasar']"
Kabar Insan Oke ,"['bdi', 'denpasar', 'selenggara', 'workshop', 'tema', 'luk', 'media', 'kain', 'apparel', 'rabu', '', 'jumat', '', 'november', 'workshop', 'tuju', 'bantu', 'masyarakat', 'milik', 'basic', 'luk', 'kembang', 'mampu', 'usaha', 'rajin', 'serta', 'giat', 'asal', 'duduk', 'domisili', 'bal', 'isi', 'instruktur', 'alam', 'i', 'made', 'darmika', 'instruktur', 'lukis', 'gede', 'bagus', 'ardhana', 'instruktur', 'fotografi', 'giat', 'buka', 'rabu', 'november', 'langsung', 'lanjut', 'papar', 'materi', 'basic', 'luk', 'ajar', 'sketsa', 'ancang', 'media', 'kertas', 'campur', 'warna', 'primer', 'warna', 'sekunder', 'sesuai', 'sketsa', 'rencana', 'warna', 'tentu', 'lanjut', 'praktek', 'luk', 'media', 'topi', 'media', 'botol', 'kaca', 'sore', 'serta', 'workshop', 'ajak', 'luk', 'media', 'jaket', 'jeans', 'media', 'sepatu', 'kanvas', 'media', 'kaos', 'oblong', 'lanjut', 'serta', 'workshop', 'ajar', 'foto', 'produk', 'sesuai', 'teori', 'praktek', 'foto', 'produk', 'output', 'giat', 'capai', 'giat', 'hasil', 'lukis', 'media', 'topi', 'botol', 'kaca', 'jaket', 'jeans', 'kaos', 'oblong', 'sepatu', 'kanvas']"
Kabar Insan Oke ,"['merdeka', 'giveaway', 'kali', 'balai', 'diklat', 'industri', 'denpasar', 'kolaborasi', 'inbo', 'indonesia', 'semarak', 'raya', 'hut', 'ri', 'menang', 'total', 'hadiah', 'tarik', 'headphone', 'selfie', 'stick', 'orang', 'untung', 'inbo', 'indonesia', 'gampang', 'banget', 'follow', 'ig', 'bdidenpasar', 'inbo', 'indonesia', 'tulis', 'makna', 'merdeka', 'versi', 'kolom', 'komentar', 'mention', 'orang', 'teman', 'komentar', 'kali', 'mention', 'teman', 'beda', 'like', 'share', 'postingan', 'igs', 'mu', 'tag', 'akun', 'bdidenpasar', 'inbo', 'indonesia', 'umum', 'tanggal', 'agustus', 'igs', 'bdidenpasar', 'pasti', 'gak', 'lewat', 'seru', 'merdeka', 'giveaway', 'bareng', 'bdi', 'denpasar', 'inbo', 'indonesia']"
Kabar Insan Oke ,"['balai', 'diklat', 'industri', 'denpasar', 'bulan', 'pilih', 'aparatur', 'hak', 'predikat', '', 'employee', 'of', 'the', 'month', '', 'kriteria', 'pilih', 'aspek', 'disiplin', 'patuh', 'tanggung', 'integritas', 'milik', 'aparatur', 'november', 'predikat', '', 'employee', 'of', 'the', 'month', 'bdi', 'denpasar', 'november', '', 'i', 'gusti', 'agung', 'egitha', 'satria', 'moga', 'motivasi', 'tingkat', 'hasil', 'karya', 'maju', 'bdi', 'denpasar', 'industri', 'animasi', 'indonesia']"
Inbis Tohpati,"['tohpati', 'talent', 'camp', 'umum', 'serta', 'kelas', 'internet', 'of', 'things', 'selamat', 'serta', 'pilih', 'tohpati', 'talent', 'camp', 'kelas', 'internet', 'of', 'things', 'lolos', 'kecil', 'hati']"
Bikin Maker Space,"['workshop', 'rajin', 'bambu', 'sosial', 'media', 'marketing', 'buat', 'lampu', 'bamboo', 'kembang', 'desain', 'produk', 'social', 'media', 'marketing', 'tanggal', 'kamis', '', 'jumat', '', 'juni', 'jam', '', 'wita', 'lokasi', 'bikin', 'makerspace', 'bdi', 'denpasar']"
